,Long,Short
1993-06-07,-0.0016533301118686339,0.023784785706612188
1993-06-08,-0.0005388921136802449,0.011343703634547031
1993-06-09,-0.008336632941295209,0.000604281007673757
1993-06-10,-0.004578702405069568,0.0006129537399789054
1993-06-11,-0.004840585631335703,0.00693624064516879
1993-06-14,0.011085446966416102,-0.003983519757492837
1993-06-15,0.00924427159667679,0.010969815666711246
1993-06-16,0.004989493282875524,-0.003876622176907685
1993-06-17,-0.0037387355361402142,-0.006901853411560998
1993-06-18,0.030603412923323504,0.022228430328857185
1993-06-21,-0.014200746592927981,0.004718411410089185
1993-06-22,-0.004912562771164486,0.009696269548462765
1993-06-23,0.013547709091958626,0.007224340346905012
1993-06-24,0.019330004034565085,0.0059439680273775
1993-06-25,0.003944513483245949,-0.0007530423007393261
